Country Code,Name,Year,Labour_Force,Fertility_Rate,Continent
CHE,Switzerland,2020,62.50400162,1.46,Europe
CHI,Channel Islands,1990,45.5340004,1.483,#N/A
CHI,Channel Islands,1995,45.54100037,1.567,#N/A
CHI,Channel Islands,2000,47.40200043,1.526,#N/A
CHI,Channel Islands,2005,50.94800186,1.509,#N/A
CHI,Channel Islands,2010,51.39099884,1.585,#N/A
CHI,Channel Islands,2015,51.21099854,1.541,#N/A
CHI,Channel Islands,2020,51.77600098,1.512,#N/A
CHL,Chile,1990,31.63699913,2.579,South America
CHL,Chile,1995,36.14300156,2.372,South America
CHL,Chile,2000,37.8769989,2.055,South America
CHL,Chile,2005,40.28099823,1.909,South America
CHL,Chile,2010,45.55799866,1.884,South America
CHL,Chile,2015,48.4620018,1.75,South America
CHL,Chile,2020,44.57300186,1.611,South America
CHN,China,1990,73.02200317,2.309,Asia
CHN,China,1995,71.78800201,1.66,Asia
CHN,China,2000,70.52200317,1.596,Asia
CHN,China,2005,67.16999817,1.612,Asia
CHN,China,2010,63.62599945,1.627,Asia
CHN,China,2015,63.56499863,1.665,Asia
CHN,China,2020,61.81800079,1.7,Asia
CIV,Cote d'Ivoire,1990,47.16899872,6.622,Africa
CIV,Cote d'Ivoire,1995,47.63600159,6.225,Africa
CIV,Cote d'Ivoire,2000,47.54399872,5.87,Africa
CIV,Cote d'Ivoire,2005,47.04199982,5.46,Africa
CIV,Cote d'Ivoire,2010,46.61700058,5.088,Africa
CIV,Cote d'Ivoire,2015,46.27999878,4.813,Africa
CIV,Cote d'Ivoire,2020,45.90100098,4.536,Africa
CMR,Cameroon,1990,78.95999908,6.436,Africa
CMR,Cameroon,1995,79.0019989,5.978,Africa
CMR,Cameroon,2000,79.2519989,5.58,Africa
CMR,Cameroon,2005,79.45300293,5.35,Africa
CMR,Cameroon,2010,70.47699738,5.111,Africa
CMR,Cameroon,2015,70.57800293,4.777,Africa
CMR,Cameroon,2020,70.09799957,4.443,Africa
COD,"Congo, Dem. Rep.",1990,71.48699951,6.746,Africa
COD,"Congo, Dem. Rep.",1995,71.36299896,6.779,Africa
COD,"Congo, Dem. Rep.",2000,71.32099915,6.751,Africa
COD,"Congo, Dem. Rep.",2005,71.22599792,6.69,Africa
COD,"Congo, Dem. Rep.",2010,65.07499695,6.544,Africa
COD,"Congo, Dem. Rep.",2015,62.44800186,6.203,Africa
COD,"Congo, Dem. Rep.",2020,60.86999893,5.718,Africa
COG,"Congo, Rep.",1990,65.86000061,5.119,Africa
COG,"Congo, Rep.",1995,66.36499786,4.93,Africa
COG,"Congo, Rep.",2000,66.72200012,4.871,Africa
