p25,p_median,item_id,itemName,dateStata
.9,1,212006,"FRUIT JUICE NOT ORANGE 1L",01-10-2021
.55,.65,211814,"YOGHURT-SMALL INDIVIDUAL",01-10-2021
1,1.5,211407,"Margarine 500g",01-10-2021
.7,.85,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-10-2021
1.15,1.15,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-10-2021
.33,.85,212603,"Baked Beans 400g",01-10-2021
.95,1.1,210111,"WHITE SLICED LOAF BRANDED 750G",01-10-2021
2.6,3.29,212939,"CHILLED PIZZA EACH 300-600G",01-10-2021
1.19,1.645,212918,"FRZN READY-COOKD MEAL SERVES 1",01-10-2021
.8,.85,211710,"Semi-skimmed Milk 2 pints'",01-10-2021
1.1,1.4,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-10-2021
.89,1,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-10-2021
1.58,2,212405,"FROZEN CHIPS 900G-1.5KG'",01-10-2021
5,5.63,211501,"CHEDDAR-HOME PRODUCED PER KG",01-10-2021
